year	catch
1950	693.33
1951	792.82
1952	819.72
1953	865.83
1954	820.98
1955	936.99
1956	897.5
1957	1021.21
1958	1021.64
1959	1166.7
1960	1166.16
1961	1290.06
1962	1310.79
1963	1578.82
1964	1218.97
1965	1400.15
1966	1348.12
1967	1369.69
1968	1664.4
1969	1438.63
1970	1397.25
1971	1350.04
1972	1658
1973	1530.27
1974	1563.52
1975	1722.81
1976	1826.92
1977	1837.59
1978	2133.02
1979	2422.1
1980	2216.75
1981	2165.77
1982	2397.52
1983	2286.39
1984	2336.17
1985	2363.48
1986	2434.1
1987	2938.69
1988	2949.67
1989	3504.12
1990	3249.56
1991	3700.13
1992	3912.24
1993	3878.19
1994	4034.78
1995	4162.9
1996	4715.19
1997	4844.59
1998	4321.37
1999	4913.86
2000	4911.66
2001	4563.31
2002	4265.42
2003	4730.39
2004	4562.25
2005	4602.04
2006	5043.04
2007	5146.55
2008	5244.8
2009	4296.32
2010	4544
2011	4474.15
2012	4717.8
2013	4760.87
2014	5420.76
2015	5505.95
2016	4028.25
2017	4263.93
2018	4084.2
2019	4120.21
