taxa	distribution	data_area	t	lifespan	habitat	deadfall_location	m	type	residence_time	carbon_deadfall	sequestration	respiration_ind	feces_ind	respiration	feces	respiration_ind_low	feces_ind_low	respiration_low	feces_low
Cephalopoda	global	global	3500000	1.5	mixed	mixed	700	landings	100	207900	20790000	109.268569360639	93.6587737376903	0	0	24.3668909674224	20.8859065435049	0	0
Dosiduscus gigas 	E Pacific	Xile, Peru, equatorial E Paciffic	550000	2	pelagic	pelagic	15000	landings	1000	24502.5	24502500	842.993196586473	722.56559707412	0	0	187.987482838784	161.132128147529	0	0
Dosiduscus gigas 	E Pacific	Mexico	60000	2	pelagic	pelagic	15000	landings	1000	2673	2673000	842.993196586473	722.56559707412	0	0	187.987482838784	161.132128147529	0	0
Illex argentinus	SW Atlantic	SW Atlantic	6e+05	1	shelf and slope	slope	550	landings	100	53460	5346000	93.0404259419698	79.7489365216884	0	0	20.7480149850593	17.7840128443365	0	0
Todarodes pacificus	N Pacific	NW Pacific (Japan area)	450000	1	shelf and slope	slope	700	landings	100	40095	4009500	109.268569360639	93.6587737376903	0	0	24.3668909674224	20.8859065435049	0	0
Ommastrephes bartramii 	Subtropical worldwide	N Pacific	50000	1	pelagic	pelagic	2500	landings	1000	4455	4455000	255.303382855779	218.831471019239	0	0	56.9326543768387	48.7994180372903	0	0
Doryteuthis pealeii 	NW Atlantic	North Carolina to Cape cod	15000	1	shelf and slope	shelf	335	landings	10	1336.5	13365	66.8538519034473	57.3033016315262	0	0	14.9084089744687	12.7786362638304	0	0
Doryteuthys gahi	SW Atlantic, SE Pacific	Falkland	60000	1	shelf and slope	shelf	275	landings	10	5346	53460	58.6117955677364	50.2386819152026	0	0	13.0704304116052	11.2032260670902	0	0
Onykia ingens	subarctic, circumpolar	Falkland	NA	2	pelagic	pelagic	15000	landings	1000	NA	NA	842.993196586473	722.56559707412	0	0	187.987482838784	161.132128147529	0	0
Doryteuthis opalescens 	NE Pacific	USA west coast	60000	1	shelf	shelf	100	landings	10	5346	53460	29.8604648038419	25.5946841175788	0	0	6.65888365125675	5.70761455822007	0	0
Nototodarus gouldi (solanii) 	S Autralia, N New Zealand	New Zaland	40000	1	shelf	shelf	400	landings	10	3564	35640	75.2436563320108	64.494562570295	0	0	16.7793353620384	14.3822874531758	0	0
Illex illecebrosus 	NW Atlantic	USA east coast	30000	1	shelf and slope	slope	500	landings	100	2673	267300	87.3125287577147	74.8393103637554	0	0	19.4706939129704	16.6891662111175	0	0
Loligo reynaudii	S Africa	S Africa	7500	1	shelf	shelf	500	landings	10	668.25	6682.5	87.3125287577147	74.8393103637554	0	0	19.4706939129704	16.6891662111175	0	0
Heterololigo bleekeri	Japan shelf, Yellow sea	Japan	6500	1	shelf	shelf	300	landings	10	579.15	5791.5	62.1122697872823	53.2390883890991	0	0	13.851036162564	11.8723167107691	0	0
Octopus vulgaris	Atlantic, NW Pacific	NW Africa	1000	1	shelf	shelf	3150	landings	10	89.1	891	297.831251301785	255.283929687244	0	0	66.4163690402981	56.9283163202555	0	0
Enteroctopus dofleini	N Pacific	Alaska	750	4	shelf, slope and bathial	shelf	25000	landings	10	16.70625	167.0625	1185.01333104695	1015.72571232596	0	0	264.25797282347	226.506833848689	0	0
Enteroctopus dofleini	N Pacific	Aleutians	300	4	shelf, slope and bathial	shelf	25000	landings	10	6.6825	66.825	1185.01333104695	1015.72571232596	0	0	264.25797282347	226.506833848689	0	0
Cuttlefishes	ICES area +	ICES area	15000	1	shelf	shelf	500	landings	10	1336.5	13365	87.3125287577147	74.8393103637554	0	0	19.4706939129704	16.6891662111175	0	0
Ocotpus vulgaris, Eledone spp.	ICES area +	ICES area	12500	1	shelf	shelf	1500	landings	10	1113.75	11137.5	181.617378618677	155.672038816008	0	0	40.5006754319649	34.7148646559699	0	0
Ommastrephidae	ICES area +	ICES area	5000	1	shelf and slope	mixed	550	landings	100	445.5	44550	93.0404259419698	79.7489365216884	0	0	20.7480149850593	17.7840128443365	0	0
